Table with row headers in column A and column headers in rows 4 through 6,,,,,,,,,,,,,,,,
"Table A-1. Years of School Completed by People 25 Years and Over, by Age and Sex: Selected Years 1940 to 2024",,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,
Year,Total,Years of school completed,,,,,,,,,,,,,,
,,Elementary,,High school,,College,,Median,,,,,,,,
,,0 to 4 years,5 to 8 years,1 to 3 years,4 years,1 to 3 years,4 years or more,,,,,,,,,
"25 Years and Over, Both Sexes",,,,,,,,,,,,,,,,
1974,"28,972",352,"1,654","3,763","12,362","5,056","5,785",12.7,,,,,,,,
1973,"27,793",333,"1,850","3,915","12,194","4,454","5,047",12.6,,,,,,,,
1972,"26,517",285,"1,791","3,981","11,635","4,090","4,734",12.6,,,,,,,,
1971,"25,545",327,"2,011","3,986","11,232","3,822","4,169",12.6,,,,,,,,
1970,"24,865",329,"1,937","4,251","10,929","3,491","3,926",12.5,,,,,,,,
1969,"24,072",359,"2,086","4,140","10,592","3,202","3,693",12.5,,,,,,,,
1968,"23,285",350,"2,246","4,129","10,157","2,989","3,413",12.5,,,,,,,,
1967,"22,388",319,"2,293","4,017","9,645","2,946","3,169",12.5,,,,,,,,
1966,"22,023",430,"2,208","4,158","9,546","2,647","3,037",12.4,,,,,,,,
1965,"21,980",543,"2,437","4,058","9,500","2,561","2,880",12.4,,,,,,,,
1964,"21,997",502,"2,591","4,176","9,370","2,529","2,830",12.4,,,,,,,,
1962,"22,130",597,"2,936","4,371","8,815","2,552","2,859",12.4,,,,,,,,
1960,"22,821",709,"3,738","5,135","8,166","2,572","2,499",12.4,,,,,,,,
1959,"22,922",761,"3,348","4,741","8,979","2,398","2,480",12.3,,,,,,,,
1957,"23,437",750,"3,971","4,965","8,927","2,275","2,351",12.2,,,,,,,,
1952,"23,138",844,"4,362","4,898","8,620","2,220","2,052",12.2,,,,,,,,
1950,"23,626","1,147","5,308","5,050","7,660","2,198","1,252",11.9,,,,,,,,
1947,"22,627","1,015","5,523","4,997","7,630","1,908","1,378",11.9,,,,,,,,
1940,"21,339","1,377","7,676","4,553","4,702","1,554","1,288",10.0,,,,,,,,
"25 to 34 Years, Male",,,,,,,,,,,,,,,,
2024,"22,520",74,298,"1,062","7,063","5,624","8,396",N,,,,,,,,
2023,"22,680",117,391,958,"7,041","5,636","8,534",N,,,,,,,,
2022,"22,326",78,337,"1,042","6,840","5,754","8,275",N,,,,,,,,
2021,"22,837",95,330,"1,213","6,936","6,026","8,236",N,,,,,,,,
2020,"22,783",94,285,"1,064","6,897","6,092","8,352",N,,,,,,,,
2019,"22,726",147,379,"1,303","6,593","5,939","8,365",N,,,,,,,,
2018,"22,490",95,432,"1,431","6,530","6,047","7,955",N,,,,,,,,
2017,"22,121",135,390,"1,410","6,456","6,267","7,464",N,,,,,,,,
2016,"21,845",116,468,"1,427","6,386","6,015","7,432",N,,,,,,,,
